"outcome","outcome_class","n_exposure_snps","n_outcome_hits","n_harmonised","ivw_eligible","method","nsnp","beta","se","pval","OR","OR_lower95","OR_upper95","Q","Q_df","Q_pval","random_effects_sensitivity_pval","p_bonferroni_5_outcomes","p_fdr_5_outcomes"
"G6_ALZHEIMER","primary_strict_AD",3,3,3,"True","IVW_fixed_effect",3,0.025085615954942,0.0224081283852312,0.262932290489581,1.02540290761552,0.981341941746193,1.07144215305363,0.756565642302028,2,0.68503673038942,0.262932290489581,1,0.0728781394476155
"G6_AD_WIDE","secondary_broad_AD",3,3,3,"True","IVW_fixed_effect",3,0.016071245157861,0.0189595025128611,0.396626371802983,1.01620108223362,0.979131446117472,1.05467416415599,0.868779432363964,2,0.647659802790529,0.396626371802983,1,0.0728781394476155
"F5_ALZHDEMENT","secondary_AD_disease_code",3,3,3,"True","IVW_fixed_effect",3,0.0588880167181663,0.0292001942493267,0.0437268836685693,1.06065645829836,1.00165700731145,1.12313108610862,0.160067515761995,2,0.923085184460851,0.0437268836685693,0.218634418342846,0.0728781394476155
"F5_DEMENTIA","optional_all_cause_dementia",3,3,3,"True","IVW_fixed_effect",3,0.0171387532875404,0.0172605573258201,0.320737628125421,1.01728646437435,0.983446599447386,1.05229074072836,0.549815720803197,2,0.75964211311973,0.320737628125421,1,0.336936251078026
"F5_DEMENTIA_INCLAVO","optional_dementia_including_AVO",3,3,3,"True","IVW_fixed_effect",3,0.0161660590521259,0.0168354991073807,0.336936251078026,1.01629743678339,0.983309339425478,1.05039222002708,0.378415305579509,2,0.827614632363007,0.336936251078026,1,0.336936251078026
