"cell_type","log2FD","p_value","FDR","ci_low","ci_high"
"Central memory CD8 T cells",-1.40714004956315,0.000999000999000999,0.0014985014985015,-1.67425232523976,-1.1509338892485
"Effector memory CD8 T cells",-1.14110923872127,0.000999000999000999,0.0014985014985015,-1.28510106006705,-1.00731860487921
"MAIT cells",0.11104582370929,0.172827172827173,0.172827172827173,-0.100273728056645,0.332131834363512
"Naive CD8 T cells",0.572485661273639,0.000999000999000999,0.0014985014985015,0.411336497454783,0.728916956744907
"Natural killer cells",-Inf,0.000999000999000999,0.0014985014985015,NA,NA
"Neutrophil",-Inf,0.021978021978022,0.0282574568288854,NA,NA
"Non-switched memory B cells",0.920419913403546,0.0679320679320679,0.0764235764235764,-0.374624887332869,1.87215636316241
"Terminal effector CD8 T cells",0.86259424200125,0.000999000999000999,0.0014985014985015,0.803980899908572,0.916998290526303
"Th2 cells",-2.21958296453473,0.000999000999000999,0.0014985014985015,-2.6165062260182,-1.87712707679619
