"name","contribution","contribution.scaled","group"
"MHC-I",38.3312828701548,52.3790263861311,"HC"
"MIF",6.29360030955079,48.8870912937224,"HC"
"CLEC",2.22148326691867,45.3951562013137,"HC"
"CypA",1.33620160113082,41.9032211089049,"HC"
"CD99",1.15846575898556,38.4112860164962,"HC"
"LCK",0.971768747808137,34.9193509240874,"HC"
"SELPLG",0.947696193437888,18.6145907842238,"HC"
"Prostaglandin",0.780513368056525,4.03545695141375,"HC"
"CD45",0.325904243976856,0.891939980967772,"HC"
"ICAM",0.201573057736097,0.624374301284574,"HC"
"ADGRE",0.157173552078796,0.540422332089844,"HC"
"BAG",0.0520613136735329,0.338371327573736,"HC"
"SIRP",0.0388185042884442,0.307800442117838,"HC"
"SEMA4",0.0293106671165727,0.283301868011681,"HC"
"MHC-I",43.9812519485892,4.24735237997347,"MCI"
"MIF",9.95830145017072,3.9641955546419,"MCI"
"CLEC",2.46684310592192,3.68103872931034,"MCI"
"LCK",1.35412474579224,3.39788190397877,"MCI"
"Prostaglandin",1.01253097883716,3.11472507864721,"MCI"
"CD45",0.70246395753634,2.83156825331564,"MCI"
"CD99",0.662147641653401,2.42561415011461,"MCI"
"ADGRE",0.600877412899631,1.96323128083309,"MCI"
"SELPLG",0.47730652981348,1.35208883481027,"MCI"
"CCL",0.163089600935069,0.551433428246619,"MCI"
"COLLAGEN",0.144204956986025,0.516390311376067,"MCI"
"APP",0.103013314085803,0.439967136258609,"MCI"
"ICAM",0.0733648226774308,0.382802855304397,"MCI"
"SIRP",0.0330981740190267,0.293403368319886,"MCI"
"TNF",0.0274686714838361,0.278186623830571,"MCI"
"PARs",0.0270765185136691,0.277078278101091,"MCI"
"SEMA4",0.0246376241244364,0.270016267537352,"MCI"
"MHC-I",45.9673181425506,63.723069241173,"AD"
"MIF",8.07082879611369,59.4748646250948,"AD"
"CLEC",2.31670446246665,55.2266600090166,"AD"
"CD99",2.03915526407114,50.9784553929384,"AD"
"LCK",1.35866399440359,46.7302507768602,"AD"
"CypA",0.976735533696982,42.482046160782,"AD"
"Prostaglandin",0.706609421895129,2.87954398144742,"AD"
"SELPLG",0.534688889794492,1.59726493135805,"AD"
"ADGRE",0.235829716407159,0.692211449604736,"AD"
"CD45",0.187513750896177,0.597406146811302,"AD"
"CCL",0.152346836379206,0.531463844988175,"AD"
"ICAM",0.132740774829355,0.49520710974035,"AD"
"CD70",0.0398397481315651,0.31028050842088,"AD"
"SIRP",0.0269689890120469,0.276773119938292,"AD"
"SEMA4",0.0216853711861826,0.261020454242757,"AD"
"TNF",0.0102526856216558,0.218330333818022,"AD"
