"feature_id","estimate_P_MCI_vs_S_MCI","se","t","p_value","fdr","n_subjects","df_residual","symbol"
"ENSG00000223461",-0.13495267494055,0.0311610355255187,-4.33081483540666,7.52947566038477e-05,0.928180260175504,52,48,""
"ENSG00000287614",-0.0806099504116136,0.0199876163949646,-4.03299467123659,0.0001963685176982,0.928180260175504,52,48,""
"ENSG00000105559",-0.292988851050467,0.0733407007287363,-3.99490116864494,0.0002215568846448,0.928180260175504,52,48,"PLEKHA4"
"ENSG00000242068",0.0225156890272603,0.0057067114028535,3.94547532507108,0.0002589338236476,0.928180260175504,52,48,"RNF13P1"
"ENSG00000214447",-0.184343561427058,0.0470017315509346,-3.92205894004756,0.0002787039499436,0.928180260175504,52,48,"FAM187A"
"ENSG00000269388",-0.208440429588866,0.0537874775126252,-3.87525943264285,0.0003226767797699,0.928180260175504,52,48,""
"ENSG00000141294",-0.242717180157478,0.0627546813344364,-3.86771432817854,0.0003303659033174,0.928180260175504,52,48,"LRRC46"
"ENSG00000188676",-0.19754917869691,0.0515232288644718,-3.83417699260559,0.0003667353088145,0.928180260175504,52,48,"IDO2"
"ENSG00000239557",-0.235341393499395,0.0627553158224459,-3.7501427634473,0.0004756110114554,0.928180260175504,52,48,"PPP2R5CP"
"ENSG00000104951",-0.412474420290762,0.111920156911419,-3.68543461404562,0.0005800049836221,0.928180260175504,52,48,"IL4I1"
"ENSG00000272469",0.0275180942190204,0.0076286510133104,3.60720318323738,0.0007357216621609,0.928180260175504,52,48,"RN7SL760P"
"ENSG00000267216",-0.361225073383799,0.100758488482218,-3.58505847820007,0.0007866181796389,0.928180260175504,52,48,"ZNF8-ERVK3-1"
"ENSG00000188820",-0.42991616733777,0.121320826959889,-3.54363037337282,0.0008910193668475,0.928180260175504,52,48,"CALHM6"
"ENSG00000065361",-0.183337473246816,0.0520568713746274,-3.52186884085729,0.0009510398181135,0.928180260175504,52,48,"ERBB3"
"ENSG00000127528",0.3322201164326,0.0946081560830355,3.51153780167766,0.0009808676520819,0.928180260175504,52,48,"KLF2"
"ENSG00000272767",-0.141571934960914,0.040406226474291,-3.50371582090178,0.0010040432864154,0.928180260175504,52,48,"JMJD1C-AS1"
"ENSG00000278313",0.0332957110967106,0.0095096042345303,3.50127200623245,0.0010113905611599,0.928180260175504,52,48,"LOC100420930"
"ENSG00000290123",0.0449925551310221,0.0128543823564811,3.50017246128803,0.0010147130314191,0.928180260175504,52,48,""
"ENSG00000249245",-0.0699920202057925,0.0200198469098388,-3.49613163981762,0.0010270127971232,0.928180260175504,52,48,"NCOA4P3"
"ENSG00000232956",-0.46776440661195,0.134291853930735,-3.48319270991084,0.001067361601316,0.928180260175504,52,48,"SNHG15"
"ENSG00000230280",0.265473334839529,0.0767798441072663,3.45759148024116,0.0011516951263449,0.928180260175504,52,48,"HNRNPA1P59"
"ENSG00000259357",0.410900008710341,0.11984763740052,3.42851989094413,0.0012551559609161,0.928180260175504,52,48,"CERS2-AS1"
"ENSG00000280092",-0.033099331290482,0.009668218030889,-3.42351932742237,0.0012738214194445,0.928180260175504,52,48,""
"ENSG00000279148",-0.195331950202207,0.0573974195743335,-3.40314863718287,0.0013526243217802,0.928180260175504,52,48,""
"ENSG00000287910",-0.0940471840157856,0.0276478982190315,-3.40160337942245,0.0013587876169487,0.928180260175504,52,48,""
"ENSG00000243224",0.160667552655639,0.0473685555502969,3.39186092523,0.0013982649903357,0.928180260175504,52,48,"TWF2-DT"
"ENSG00000132677",-0.0357669588519983,0.0105458199709313,-3.39157684756491,0.0013994323056877,0.928180260175504,52,48,"RHBG"
"ENSG00000270316",-0.699619525443495,0.20812815440847,-3.36148430966446,0.0015284729597018,0.928180260175504,52,48,"BORCS7-ASMT"
"ENSG00000272821",-0.736891685021213,0.219839272200074,-3.35195653463851,0.0015716320283264,0.928180260175504,52,48,""
"ENSG00000072571",0.252446662984086,0.0753519339169975,3.3502346902226,0.0015795541015207,0.928180260175504,52,48,"HMMR"
"ENSG00000277687",0.319108064350303,0.0963307123238508,3.31263058947914,0.0017623189703501,0.928180260175504,52,48,""
"ENSG00000117983",-0.174059795254489,0.052567144984891,-3.31118981836503,0.0017697056099049,0.928180260175504,52,48,"MUC5B"
