"panel_size","n_bootstrap_oob","MCI_vs_HC_median","MCI_vs_HC_q025","MCI_vs_HC_q975","AD_vs_MCI_median","AD_vs_MCI_q025","AD_vs_MCI_q975","AD_vs_HC_median","AD_vs_HC_q025","AD_vs_HC_q975"
8,500,0.818853197834051,0.428463382104134,1.22551901329223,-0.626091047951531,-1.08053515837377,-0.233751284324896,0.181834018956817,-0.172348403794635,0.513089945537535
12,500,0.823412756135987,0.442151613898945,1.20682029204745,-0.63977906729994,-1.07725068410393,-0.256841042390968,0.164229279566258,-0.16812724702333,0.479063730643527
16,500,0.819629153293803,0.445106947985854,1.22303059119869,-0.651149594082117,-1.10760504518788,-0.258795593889447,0.151655984507383,-0.181619420166747,0.473580213106814
20,500,0.823006110078164,0.461296142325454,1.2199052925144,-0.666573646296978,-1.11618340372083,-0.264835232841756,0.146034842466124,-0.196290635417253,0.460921072150027
