"dataset","panel_size","mapped","mapping_fraction","contrast","estimate","se","p_value","n"
"GSE63060",12,12,1,"MCI_vs_HC",0.822173709806704,0.143320086332398,5.16047614979882e-08,155
"GSE63060",12,12,1,"AD_vs_MCI",-0.800731736719058,0.152922416641806,5.448508866315e-07,155
"GSE63060",12,12,1,"AD_vs_HC",0.0214419730876462,0.134117177026876,0.873194688625359,155
"GSE63061",12,12,1,"MCI_vs_HC",0.557223482396645,0.164291216768139,0.000908166662925894,142
"GSE63061",12,12,1,"AD_vs_MCI",-0.586989555143387,0.181913382653312,0.00156632188802915,142
"GSE63061",12,12,1,"AD_vs_HC",-0.0297660727467413,0.14874058162951,0.841682920915957,142
"GSE249477",12,10,0.833333333333333,"MCI_vs_HC",-0.187449501141234,0.127222060716548,0.146143389562491,62
"GSE249477",12,10,0.833333333333333,"AD_vs_MCI",0.122515188699287,0.128817506676563,0.345581525082264,62
"GSE249477",12,10,0.833333333333333,"AD_vs_HC",-0.0649343124419473,0.124425984953038,0.603782307728725,62
