"name","HC","MCI","AD","contrast","difference"
"MHC-I",52.3790263861311,4.24735237997347,63.723069241173,"MCI_minus_HC",-48.1316740061576
"MHC-I",52.3790263861311,4.24735237997347,63.723069241173,"AD_minus_MCI",59.4757168611995
"MIF",48.8870912937224,3.9641955546419,59.4748646250948,"MCI_minus_HC",-44.9228957390805
"MIF",48.8870912937224,3.9641955546419,59.4748646250948,"AD_minus_MCI",55.5106690704529
"CLEC",45.3951562013137,3.68103872931034,55.2266600090166,"MCI_minus_HC",-41.7141174720034
"CLEC",45.3951562013137,3.68103872931034,55.2266600090166,"AD_minus_MCI",51.5456212797063
"CypA",41.9032211089049,NA,42.482046160782,"MCI_minus_HC",NA
"CypA",41.9032211089049,NA,42.482046160782,"AD_minus_MCI",NA
"CD99",38.4112860164962,2.42561415011461,50.9784553929384,"MCI_minus_HC",-35.9856718663816
"CD99",38.4112860164962,2.42561415011461,50.9784553929384,"AD_minus_MCI",48.5528412428238
"LCK",34.9193509240874,3.39788190397877,46.7302507768602,"MCI_minus_HC",-31.5214690201086
"LCK",34.9193509240874,3.39788190397877,46.7302507768602,"AD_minus_MCI",43.3323688728814
"SELPLG",18.6145907842238,1.35208883481027,1.59726493135805,"MCI_minus_HC",-17.2625019494135
"SELPLG",18.6145907842238,1.35208883481027,1.59726493135805,"AD_minus_MCI",0.24517609654778
"Prostaglandin",4.03545695141375,3.11472507864721,2.87954398144742,"MCI_minus_HC",-0.92073187276654
"Prostaglandin",4.03545695141375,3.11472507864721,2.87954398144742,"AD_minus_MCI",-0.23518109719979
"CD45",0.891939980967772,2.83156825331564,0.597406146811302,"MCI_minus_HC",1.93962827234787
"CD45",0.891939980967772,2.83156825331564,0.597406146811302,"AD_minus_MCI",-2.23416210650434
"ICAM",0.624374301284574,0.382802855304397,0.49520710974035,"MCI_minus_HC",-0.241571445980177
"ICAM",0.624374301284574,0.382802855304397,0.49520710974035,"AD_minus_MCI",0.112404254435953
"ADGRE",0.540422332089844,1.96323128083309,0.692211449604736,"MCI_minus_HC",1.42280894874325
"ADGRE",0.540422332089844,1.96323128083309,0.692211449604736,"AD_minus_MCI",-1.27101983122835
"BAG",0.338371327573736,NA,NA,"MCI_minus_HC",NA
"BAG",0.338371327573736,NA,NA,"AD_minus_MCI",NA
"SIRP",0.307800442117838,0.293403368319886,0.276773119938292,"MCI_minus_HC",-0.014397073797952
"SIRP",0.307800442117838,0.293403368319886,0.276773119938292,"AD_minus_MCI",-0.016630248381594
"SEMA4",0.283301868011681,0.270016267537352,0.261020454242757,"MCI_minus_HC",-0.013285600474329
"SEMA4",0.283301868011681,0.270016267537352,0.261020454242757,"AD_minus_MCI",-0.00899581329459498
"CCL",NA,0.551433428246619,0.531463844988175,"MCI_minus_HC",NA
"CCL",NA,0.551433428246619,0.531463844988175,"AD_minus_MCI",-0.019969583258444
"COLLAGEN",NA,0.516390311376067,NA,"MCI_minus_HC",NA
"COLLAGEN",NA,0.516390311376067,NA,"AD_minus_MCI",NA
"APP",NA,0.439967136258609,NA,"MCI_minus_HC",NA
"APP",NA,0.439967136258609,NA,"AD_minus_MCI",NA
"TNF",NA,0.278186623830571,0.218330333818022,"MCI_minus_HC",NA
"TNF",NA,0.278186623830571,0.218330333818022,"AD_minus_MCI",-0.059856290012549
"PARs",NA,0.277078278101091,NA,"MCI_minus_HC",NA
"PARs",NA,0.277078278101091,NA,"AD_minus_MCI",NA
"CD70",NA,NA,0.31028050842088,"MCI_minus_HC",NA
"CD70",NA,NA,0.31028050842088,"AD_minus_MCI",NA
