"cell_type","avg_expr","pct_expr","gene","marker_set"
"Terminal effector CD8 T cells",3.74815753067772,99.69482421875,"CCL5","Effector memory CD8 T; Terminal effector CD8 T"
"Th2 cells",0.333932122068471,19.4888178913738,"CCL5","Effector memory CD8 T; Terminal effector CD8 T"
"Central memory CD8 T cells",1.19700014079523,63.4803921568627,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Effector memory CD8 T cells",3.12480250738505,96.6879206517889,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"MAIT cells",2.88586728269232,98.5218874360432,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Naive CD8 T cells",0.109036187331963,10.7896794370602,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Natural killer cells",4.54990192913454,100,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Neutrophil",0.278673863138246,21.2121212121212,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Non-switched memory B cells",0.29983945597821,18.5185185185185,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Terminal effector CD8 T cells",3.93921031177685,99.365234375,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Th2 cells",0.240550821066364,21.0223642172524,"NKG7","Effector memory CD8 T; MAIT; Natural killer; Terminal effector CD8 T"
"Central memory CD8 T cells",1.58704808970594,87.9493464052288,"CD3D","Effector memory CD8 T"
"Effector memory CD8 T cells",1.84725716492146,89.9220687212186,"CD3D","Effector memory CD8 T"
"MAIT cells",1.61669868757027,88.914155770324,"CD3D","Effector memory CD8 T"
"Naive CD8 T cells",1.60308636035053,91.7122752150117,"CD3D","Effector memory CD8 T"
"Natural killer cells",0.076316509723513,3.46820809248555,"CD3D","Effector memory CD8 T"
"Neutrophil",0.0707155749155509,6.06060606060606,"CD3D","Effector memory CD8 T"
"Non-switched memory B cells",0.345989061436495,25.9259259259259,"CD3D","Effector memory CD8 T"
"Terminal effector CD8 T cells",1.86849422732526,89.1845703125,"CD3D","Effector memory CD8 T"
"Th2 cells",1.60063102306689,93.6741214057508,"CD3D","Effector memory CD8 T"
"Central memory CD8 T cells",0.0881773549891648,4.77941176470588,"TRAV1-2","MAIT"
"Effector memory CD8 T cells",0.0583792786044578,3.2589443854056,"TRAV1-2","MAIT"
"MAIT cells",1.3864799736481,75.8953951108584,"TRAV1-2","MAIT"
"Naive CD8 T cells",0.0823889863298509,5.43393275996873,"TRAV1-2","MAIT"
"Natural killer cells",0,0,"TRAV1-2","MAIT"
"Neutrophil",0,0,"TRAV1-2","MAIT"
"Non-switched memory B cells",0,0,"TRAV1-2","MAIT"
"Terminal effector CD8 T cells",0.0255824699031828,1.4404296875,"TRAV1-2","MAIT"
"Th2 cells",0.0606904957919276,3.70607028753994,"TRAV1-2","MAIT"
"Central memory CD8 T cells",0.00366685172329358,0.285947712418301,"SLC4A10","MAIT"
"Effector memory CD8 T cells",0.00201011441295226,0.106269925611052,"SLC4A10","MAIT"
"MAIT cells",0.620457207719557,46.560545764639,"SLC4A10","MAIT"
"Naive CD8 T cells",0,0,"SLC4A10","MAIT"
"Natural killer cells",0.0343580655961109,2.3121387283237,"SLC4A10","MAIT"
"Neutrophil",0,0,"SLC4A10","MAIT"
"Non-switched memory B cells",0,0,"SLC4A10","MAIT"
"Terminal effector CD8 T cells",0.000132454198913864,0.01220703125,"SLC4A10","MAIT"
"Th2 cells",0.000465410756988926,0.0638977635782748,"SLC4A10","MAIT"
"Central memory CD8 T cells",0.23850631606189,13.5212418300654,"KLRB1","MAIT"
"Effector memory CD8 T cells",0.403867204570711,20.403825717322,"KLRB1","MAIT"
"MAIT cells",3.00785647121257,99.3177942012507,"KLRB1","MAIT"
"Naive CD8 T cells",0.0115461853580412,1.13369820172009,"KLRB1","MAIT"
"Natural killer cells",2.12219573713738,87.2832369942196,"KLRB1","MAIT"
"Neutrophil",0,0,"KLRB1","MAIT"
"Non-switched memory B cells",0.0510841272039669,3.7037037037037,"KLRB1","MAIT"
"Terminal effector CD8 T cells",0.346902211997692,16.80908203125,"KLRB1","MAIT"
"Th2 cells",0.0984277706599435,6.90095846645367,"KLRB1","MAIT"
"Central memory CD8 T cells",0.550257152286189,18.4232026143791,"GNLY","Natural killer; Terminal effector CD8 T"
"Effector memory CD8 T cells",0.392744471141139,13.9922068721219,"GNLY","Natural killer; Terminal effector CD8 T"
"MAIT cells",0.760779363680746,29.7328027288232,"GNLY","Natural killer; Terminal effector CD8 T"
"Naive CD8 T cells",0.0188832952746101,1.91555903049257,"GNLY","Natural killer; Terminal effector CD8 T"
"Natural killer cells",4.4345420380908,98.8439306358381,"GNLY","Natural killer; Terminal effector CD8 T"
"Neutrophil",0.0752768850232645,6.06060606060606,"GNLY","Natural killer; Terminal effector CD8 T"
"Non-switched memory B cells",0.105538522185478,5.55555555555556,"GNLY","Natural killer; Terminal effector CD8 T"
"Terminal effector CD8 T cells",3.57391260324212,91.17431640625,"GNLY","Natural killer; Terminal effector CD8 T"
"Th2 cells",0.0378808792569383,3.38658146964856,"GNLY","Natural killer; Terminal effector CD8 T"
"Central memory CD8 T cells",0.024154457518996,1.83823529411765,"FCER1G","Natural killer"
"Effector memory CD8 T cells",0.00639121789591416,0.495926319518243,"FCER1G","Natural killer"
"MAIT cells",0.00179199648596604,0.170551449687322,"FCER1G","Natural killer"
"Naive CD8 T cells",0.241036772204717,20.9538702111024,"FCER1G","Natural killer"
"Natural killer cells",2.52796083203133,94.7976878612717,"FCER1G","Natural killer"
"Neutrophil",2.82441806660619,100,"FCER1G","Natural killer"
"Non-switched memory B cells",0.00800141599616932,1.85185185185185,"FCER1G","Natural killer"
"Terminal effector CD8 T cells",0.014958531166097,0.84228515625,"FCER1G","Natural killer"
"Th2 cells",0.0249016104594874,2.17252396166134,"FCER1G","Natural killer"
"Central memory CD8 T cells",1.20818721791898,71.9771241830065,"TRBC2","Natural killer"
"Effector memory CD8 T cells",1.40436163369289,75.1859723698193,"TRBC2","Natural killer"
"MAIT cells",1.09875716313188,66.9130187606595,"TRBC2","Natural killer"
"Naive CD8 T cells",1.29890519160352,80.6098514464425,"TRBC2","Natural killer"
"Natural killer cells",1.18715428609951,63.0057803468208,"TRBC2","Natural killer"
"Neutrophil",0.101827558231326,12.1212121212121,"TRBC2","Natural killer"
"Non-switched memory B cells",1.27303355710463,87.037037037037,"TRBC2","Natural killer"
"Terminal effector CD8 T cells",1.58609836034832,80.65185546875,"TRBC2","Natural killer"
"Th2 cells",1.21621553130365,79.1693290734824,"TRBC2","Natural killer"
"Central memory CD8 T cells",0.00167473311736506,0.163398692810458,"FCGR3B","Neutrophil"
"Effector memory CD8 T cells",0.00455195417872761,0.371944739638682,"FCGR3B","Neutrophil"
"MAIT cells",0.00117386145440829,0.113700966458215,"FCGR3B","Neutrophil"
"Naive CD8 T cells",0,0,"FCGR3B","Neutrophil"
"Natural killer cells",0.042943658983421,2.89017341040462,"FCGR3B","Neutrophil"
"Neutrophil",0.339185857463698,33.3333333333333,"FCGR3B","Neutrophil"
"Non-switched memory B cells",0,0,"FCGR3B","Neutrophil"
"Terminal effector CD8 T cells",0.0513913675418102,4.18701171875,"FCGR3B","Neutrophil"
"Th2 cells",0.000480879231604202,0.0638977635782748,"FCGR3B","Neutrophil"
"Central memory CD8 T cells",0.00359656003874326,0.285947712418301,"S100A8","Neutrophil"
"Effector memory CD8 T cells",0.00763248834129698,0.584484590860786,"S100A8","Neutrophil"
"MAIT cells",0.00494548145545424,0.341102899374645,"S100A8","Neutrophil"
"Naive CD8 T cells",0.00284642755789558,0.273651290070367,"S100A8","Neutrophil"
"Natural killer cells",0,0,"S100A8","Neutrophil"
"Neutrophil",1.87461383682282,63.6363636363636,"S100A8","Neutrophil"
"Non-switched memory B cells",0,0,"S100A8","Neutrophil"
"Terminal effector CD8 T cells",0.00403443445773999,0.28076171875,"S100A8","Neutrophil"
"Th2 cells",0.00259040033559754,0.255591054313099,"S100A8","Neutrophil"
"Central memory CD8 T cells",0.00885138609361532,0.735294117647059,"S100A9","Neutrophil"
"Effector memory CD8 T cells",0.00870305671791682,0.655331207934821,"S100A9","Neutrophil"
"MAIT cells",0.0767142804264731,6.42410460488914,"S100A9","Neutrophil"
"Naive CD8 T cells",0.00718359738996696,0.703674745895231,"S100A9","Neutrophil"
"Natural killer cells",0,0,"S100A9","Neutrophil"
"Neutrophil",2.29852271561811,81.8181818181818,"S100A9","Neutrophil"
"Non-switched memory B cells",0,0,"S100A9","Neutrophil"
"Terminal effector CD8 T cells",0.00727308076966536,0.50048828125,"S100A9","Neutrophil"
"Th2 cells",0.0081563393865008,0.894568690095847,"S100A9","Neutrophil"
"Central memory CD8 T cells",0,0,"CSF3R","Neutrophil"
"Effector memory CD8 T cells",0.00040766506149796,0.0354233085370174,"CSF3R","Neutrophil"
"MAIT cells",0,0,"CSF3R","Neutrophil"
"Naive CD8 T cells",0,0,"CSF3R","Neutrophil"
"Natural killer cells",0,0,"CSF3R","Neutrophil"
"Neutrophil",0.697871190174151,54.5454545454545,"CSF3R","Neutrophil"
"Non-switched memory B cells",0,0,"CSF3R","Neutrophil"
"Terminal effector CD8 T cells",0,0,"CSF3R","Neutrophil"
"Th2 cells",0,0,"CSF3R","Neutrophil"
"Central memory CD8 T cells",0.0619854766415188,5.18790849673203,"MS4A1","Memory B"
"Effector memory CD8 T cells",0.138866884379275,10.2550478214665,"MS4A1","Memory B"
